date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Imports -  GWh,Exports -  GWh,Battery (Charging) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Volume Weighted Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Imports Market Value - AUD,Exports Market Value - AUD,Battery (Charging) Market Value - AUD
2018-12-31 00:00,6.30,1.17,11.08,0.11,0.00,0.58,6.77,2.09,0.01,8.46,-0.01,-0.12,0.00,0.00,0.00,92.66,659180.99,119089.36,961683.95,10373.13,0.00,55419.00,618116.89,197236.82,682.10,-841271.75,840.29,11767.69
2019-01-01 00:00,6.21,1.27,14.30,0.11,0.00,0.09,9.53,2.13,0.02,2.19,-0.30,-0.16,13.40,22.06,32.20,80.35,511869.83,103524.97,1165264.77,9516.60,0.00,8580.73,765417.59,171715.87,1539.81,-160972.25,28634.51,11254.92
2019-01-02 00:00,6.06,1.19,15.92,0.10,0.00,0.59,12.02,4.18,0.01,2.53,-1.04,-0.16,15.50,24.29,33.10,94.29,664264.59,129488.74,1341166.91,10586.94,0.00,65954.57,1166162.17,425836.09,979.11,-290695.59,81877.69,13898.40
2019-01-03 00:00,5.87,1.21,11.21,0.08,0.00,2.50,13.79,10.49,0.03,8.16,-1.15,-0.11,19.30,31.44,40.90,154.53,855467.19,184250.52,1050310.49,20202.60,0.00,553800.57,1971736.30,1927119.16,10176.13,-1513838.22,77487.13,7897.27
2019-01-04 00:00,5.62,0.94,23.27,0.12,0.00,0.00,13.24,5.72,0.01,0.70,-5.61,-0.15,17.40,24.74,32.90,96.37,764488.39,122945.10,2188845.52,16360.49,0.00,0.00,1337528.11,594779.28,1552.03,-53685.69,606567.03,9257.14
2019-01-05 00:00,5.96,1.12,16.00,0.12,0.00,0.00,5.59,2.37,0.00,5.00,-2.89,-0.15,15.20,18.91,22.40,87.93,439196.86,81666.31,1298672.21,11296.49,0.00,0.00,493083.25,209935.91,40.09,-480043.54,173856.91,9748.41
2019-01-06 00:00,6.27,1.30,10.10,0.13,0.00,0.00,9.04,1.93,0.00,3.76,-0.08,-0.16,13.30,19.02,26.70,69.84,375705.61,80161.96,717602.98,8858.76,0.00,0.00,618284.38,131514.25,31.61,-276137.26,4865.73,10640.96
2019-01-07 00:00,4.93,1.03,8.68,0.15,0.00,0.57,12.55,2.97,0.01,5.46,0.00,-0.16,13.20,20.41,27.30,93.10,438473.53,92996.18,754531.16,15570.91,0.00,62870.27,1198743.92,285874.65,659.54,-514088.82,0.00,12500.14
2019-01-08 00:00,6.28,1.29,10.94,0.13,0.00,0.51,14.83,3.52,0.00,3.04,-3.65,-0.16,12.80,19.48,23.70,103.84,594722.98,126281.40,1012344.33,12883.87,0.00,60927.12,1552249.14,374388.07,48.21,-355844.04,319587.17,15204.89
2019-01-09 00:00,6.23,1.27,12.69,0.10,0.00,0.00,14.53,5.98,0.00,0.47,-5.70,-0.15,14.30,18.75,25.10,83.42,543931.56,111434.01,1033260.09,9374.97,0.00,0.00,1229202.71,517548.93,38.87,-34650.06,488055.74,11565.48
