date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2020-05-29,-0.19,-3.84,1.77,0.00,7.23,12.98,0.91,2.06,0.16,13.26,1.19,4.01,8.30,13.53,19.10,-1.80,4340.00,5192.00,636.80,1234.00,NaN,55.37,8243.00,163737.00,79733.00,-78.34,376475.00,630488.00,68797.00,114290.00,7555.00,562025.00,42296.00,136189.00
2020-05-30,-0.19,-4.06,0.31,0.00,2.63,4.28,0.15,0.64,0.12,30.93,0.26,2.26,13.00,15.13,19.30,-1.34,1578.00,1712.00,105.10,385.50,NaN,10.10,-667.90,-47308.00,10547.00,-23.17,48983.00,47627.00,6727.00,26580.00,1885.00,360241.00,-1545.00,-75993.00
2020-05-31,-0.17,-0.67,2.51,0.00,2.95,4.28,0.19,0.63,0.13,24.69,0.64,1.90,10.60,12.43,14.30,-2.11,1769.00,1713.00,134.60,379.60,NaN,32.02,4965.00,26057.00,83419.00,-59.08,101560.00,126414.00,9091.00,28711.00,3947.00,738056.00,17304.00,47743.00
2020-06-01,-0.20,-2.86,1.43,0.00,3.23,7.32,0.57,0.77,0.14,28.22,0.54,3.18,9.80,12.04,14.20,-2.08,1936.00,2929.00,401.70,462.80,NaN,36.41,3340.00,67193.00,64411.00,-68.59,111787.00,250908.00,24041.00,32342.00,5557.00,849078.00,19044.00,114203.00
2020-06-02,-0.17,-6.04,1.18,0.02,4.67,13.11,0.71,1.14,0.14,23.02,0.74,2.35,11.10,13.38,16.30,17.71,2805.00,5244.00,493.70,681.20,NaN,47.58,4616.00,222801.00,42165.00,581.60,184186.00,473548.00,36622.00,57106.00,5591.00,809030.00,26767.00,80359.00
2020-06-03,-0.16,0.00,5.65,0.01,4.76,13.66,0.88,0.71,0.13,10.89,0.61,2.45,5.80,12.05,15.40,13.16,2859.00,5463.00,618.80,424.10,NaN,47.92,5063.00,0.00,280873.00,602.10,252622.00,654138.00,59981.00,55008.00,6884.00,448632.00,27292.00,106303.00
2020-06-04,-0.19,-1.70,3.96,0.01,5.96,13.93,0.86,1.53,0.15,12.31,1.11,3.83,4.00,8.92,15.70,12.68,3576.00,5573.00,604.40,915.80,NaN,56.78,8302.00,58158.00,277745.00,546.40,379487.00,742370.00,77259.00,114102.00,8892.00,507110.00,44771.00,151942.00
2020-06-05,-0.16,0.00,9.02,0.00,7.04,14.57,1.23,1.81,0.15,3.23,1.15,3.78,4.00,9.21,15.30,-2.30,4226.00,5826.00,862.80,1088.00,NaN,66.66,8095.00,0.00,565383.00,-148.50,545499.00,973687.00,110115.00,161134.00,13074.00,183625.00,54568.00,172963.00
2020-06-06,-0.19,0.00,13.93,0.00,5.91,11.09,0.58,2.34,0.12,2.42,0.64,2.45,5.00,9.04,13.90,-2.23,3545.00,4437.00,405.60,1403.00,NaN,60.84,9662.00,0.00,834392.00,-133.30,366032.00,655452.00,38530.00,154266.00,7396.00,154880.00,36065.00,133732.00
2020-06-07,-0.13,-0.16,5.95,0.00,5.01,9.67,0.55,1.17,0.10,14.10,0.99,2.53,4.30,8.65,12.80,-2.61,3005.00,3869.00,384.10,702.30,NaN,55.39,5956.00,5342.00,344757.00,-133.00,313665.00,519856.00,48889.00,92085.00,7668.00,697666.00,47655.00,119608.00
2020-06-08,-0.17,-0.04,6.29,0.00,7.19,8.41,0.66,1.30,0.11,12.56,1.14,3.72,2.10,7.00,14.10,-3.08,4312.00,3366.00,464.10,780.60,NaN,67.85,8799.00,1968.00,438603.00,-186.90,560107.00,566305.00,79215.00,129829.00,14127.00,739081.00,62679.00,193037.00
2020-06-09,-0.17,-2.02,6.55,0.01,9.21,14.78,1.00,2.26,0.15,10.07,0.93,3.30,1.80,7.59,14.00,14.78,5526.00,5910.00,697.70,1358.00,NaN,148.32,11175.00,126433.00,1236495.00,1423.00,1605569.00,2041313.00,347025.00,463959.00,75107.00,603816.00,71476.00,249234.00
2020-06-10,-0.27,0.00,11.64,0.30,9.73,11.88,2.69,2.51,0.24,2.64,1.13,3.82,1.40,7.57,15.00,303.00,5836.00,4752.00,1884.00,1503.00,NaN,130.42,21751.00,0.00,1158830.00,132111.00,1438377.00,1573467.00,572403.00,409011.00,58219.00,236147.00,102509.00,335053.00
2020-06-11,-0.31,0.00,8.91,0.02,9.65,16.28,2.19,2.02,0.26,2.78,1.06,3.45,1.50,8.84,17.00,22.13,5792.00,6513.00,1530.00,1215.00,NaN,107.51,20235.00,0.00,908392.00,3353.00,1177824.00,1651395.00,317108.00,300358.00,50025.00,260240.00,71656.00,219476.00
2020-06-12,-0.24,-6.25,0.64,0.00,5.58,13.18,0.25,1.18,0.18,24.59,1.00,3.36,7.40,14.66,19.70,-0.74,3350.00,5270.00,176.30,708.10,NaN,58.03,9742.00,263659.00,43447.00,-37.16,277967.00,621368.00,13160.00,60024.00,8034.00,1050474.00,40733.00,134228.00
2020-06-13,-0.14,-1.25,3.64,0.00,2.48,4.18,0.00,0.35,0.12,31.08,0.10,0.58,11.30,13.62,16.30,-0.85,1487.00,1673.00,0.12,209.00,NaN,33.52,4432.00,18487.00,137097.00,-29.72,80522.00,129868.00,6.22,14008.00,4229.00,963767.00,4040.00,22134.00
2020-06-14,-0.18,-0.66,2.05,0.00,2.69,4.18,0.12,0.44,0.14,29.36,0.73,1.36,8.80,12.26,15.30,-1.57,1611.00,1674.00,82.36,261.20,NaN,27.46,4361.00,5964.00,70746.00,-36.05,84768.00,106594.00,5157.00,21608.00,3625.00,756898.00,16418.00,28398.00
2020-06-15,-0.17,-2.04,1.69,0.00,2.95,5.47,0.29,0.56,0.12,29.07,0.97,2.70,12.30,14.32,17.40,-1.05,1768.00,2188.00,204.90,333.30,NaN,27.14,3830.00,26175.00,61841.00,-25.38,84194.00,145444.00,11922.00,21980.00,3512.00,699042.00,20315.00,51135.00
2020-06-16,-0.24,-0.94,5.63,0.00,4.89,8.27,0.55,1.40,0.17,19.52,1.11,1.85,10.90,13.18,16.10,0.75,2936.00,3307.00,382.90,836.90,NaN,37.22,5934.00,13041.00,233673.00,23.37,223970.00,359854.00,35008.00,80380.00,7174.00,523420.00,33881.00,54552.00
2020-06-17,-0.22,-0.06,7.99,0.00,6.59,15.37,0.73,3.25,0.19,3.95,1.02,2.54,9.40,12.85,16.60,1.17,3952.00,6150.00,514.50,1951.00,NaN,71.95,12939.00,2212.00,530925.00,159.60,544275.00,1091935.00,80323.00,257702.00,22317.00,219566.00,63477.00,150553.00
2020-06-18,-0.24,-9.96,0.01,0.00,3.63,9.54,0.25,1.14,0.21,31.58,1.22,3.54,12.00,15.01,18.60,1.02,2179.00,3817.00,177.20,683.20,NaN,24.38,503.50,79353.00,264.60,-9.34,103495.00,189605.00,13349.00,51737.00,4120.00,522646.00,11331.00,21003.00
2020-06-19,-0.20,-6.29,0.95,0.00,3.84,7.92,0.33,1.11,0.19,31.69,0.79,1.54,11.00,13.75,15.90,-0.53,2306.00,3169.00,231.00,666.80,NaN,30.41,3411.00,105546.00,37070.00,-14.70,97503.00,219488.00,13498.00,43594.00,4979.00,718525.00,10745.00,18898.00
2020-06-20,-0.19,-2.72,1.92,0.00,2.93,6.69,0.23,0.62,0.17,27.03,0.79,2.23,9.70,11.42,14.20,-1.15,1756.00,2675.00,160.40,370.80,NaN,38.84,6122.00,92241.00,60982.00,-38.78,100566.00,234051.00,9791.00,24918.00,5945.00,917513.00,23964.00,65324.00
2020-06-21,-0.20,-4.80,0.15,0.00,3.32,6.10,0.23,1.19,0.14,29.10,0.89,2.74,10.70,12.43,14.30,-1.23,1993.00,2440.00,159.90,715.40,NaN,42.81,5156.00,153839.00,5610.00,-37.44,121516.00,218699.00,11451.00,52082.00,5295.00,970677.00,29670.00,89291.00
2020-06-22,-0.18,-7.09,0.38,0.00,4.56,10.85,0.49,2.08,0.17,29.05,0.78,2.44,8.90,11.66,14.10,-0.64,2737.00,4342.00,346.30,1249.00,NaN,54.64,5555.00,282951.00,12932.00,-24.53,202215.00,457297.00,29724.00,103695.00,9601.00,1133406.00,34202.00,107548.00
2020-06-23,-0.18,-1.96,6.11,0.01,7.06,14.13,0.39,1.54,0.15,11.57,1.21,2.02,11.20,11.96,13.70,7.83,4238.00,5651.00,274.40,922.80,NaN,53.61,5984.00,47595.00,350205.00,1362.00,421968.00,714210.00,29109.00,103054.00,11093.00,413609.00,59340.00,96865.00
2020-06-24,-0.19,-0.04,7.35,0.00,8.35,15.05,0.95,1.66,0.15,4.90,1.17,2.15,10.00,11.69,14.50,-1.48,5008.00,6022.00,663.60,996.30,NaN,59.19,8955.00,4848.00,360919.00,-84.72,546819.00,882481.00,70526.00,121941.00,11236.00,259926.00,67667.00,120713.00
2020-06-25,-0.12,-0.50,5.87,0.00,6.76,12.84,0.23,1.43,0.07,11.70,1.38,2.58,9.00,11.41,16.30,-1.38,4055.00,5138.00,164.00,859.10,NaN,44.04,4021.00,10724.00,295660.00,-22.42,328281.00,566127.00,16277.00,78371.00,2905.00,409159.00,52736.00,95978.00
2020-06-26,-0.12,0.00,10.28,0.00,8.43,14.59,0.98,2.77,0.09,0.67,0.72,2.48,8.80,11.89,15.60,-2.08,5055.00,5834.00,687.10,1665.00,NaN,60.36,6469.00,0.00,574739.00,-118.20,555434.00,879455.00,72711.00,186658.00,6149.00,39319.00,34732.00,113255.00
2020-06-27,-0.15,-0.35,7.00,0.00,6.27,13.88,0.31,1.71,0.13,4.24,1.10,3.36,5.30,11.36,16.70,-1.78,3763.00,5552.00,214.20,1028.00,NaN,51.62,6521.00,11150.00,372253.00,-84.75,361483.00,704472.00,24317.00,110136.00,7334.00,178059.00,41265.00,119086.00
2020-06-28,-0.17,-0.49,5.34,0.00,6.02,13.47,0.45,1.39,0.11,6.61,1.42,3.60,5.70,10.48,16.30,-2.18,3613.00,5388.00,315.60,836.40,NaN,51.36,7153.00,13599.00,271446.00,-103.30,373693.00,676670.00,45930.00,104383.00,6481.00,280341.00,47153.00,111193.00
2020-06-29,-0.15,-4.92,0.19,0.00,6.14,12.95,0.68,1.45,0.15,21.74,1.44,3.71,4.30,10.66,14.70,-1.98,3684.00,5178.00,478.30,867.30,NaN,47.49,5423.00,161187.00,7458.00,-75.99,277139.00,518559.00,38727.00,78006.00,8769.00,766327.00,57067.00,141503.00
2020-06-30,-0.17,-3.26,3.04,0.00,6.14,6.21,0.64,0.84,0.17,20.08,1.09,3.26,8.90,11.81,15.60,-1.69,3683.00,2483.00,448.20,502.70,NaN,36.51,3770.00,68176.00,129205.00,-51.50,234157.00,226792.00,29956.00,39951.00,4195.00,563821.00,26121.00,62541.00
2020-07-01,-0.08,-3.11,2.81,0.00,2.97,4.91,0.46,0.09,0.03,29.33,0.42,3.13,9.90,13.48,20.00,-1.54,1780.00,1962.00,324.70,53.13,NaN,36.50,2870.00,49331.00,126782.00,-47.83,110673.00,168412.00,20158.00,3997.00,1252.00,937893.00,10850.00,62688.00
2020-07-02,-0.13,-2.63,2.01,0.00,3.53,6.54,0.68,1.01,0.09,27.07,1.02,2.93,9.30,11.23,13.80,-2.22,2117.00,2617.00,475.00,608.50,NaN,40.74,4812.00,68113.00,92460.00,-76.24,143645.00,255910.00,31937.00,47308.00,3096.00,933989.00,35904.00,98539.00
2020-07-03,-0.18,-4.16,0.98,0.00,4.85,8.34,0.59,1.63,0.10,27.04,0.84,2.47,9.00,11.23,13.40,-1.99,2908.00,3337.00,415.20,978.90,NaN,47.74,6604.00,160438.00,39167.00,-75.09,203106.00,345108.00,24533.00,71419.00,4019.00,1037428.00,34037.00,103574.00
2020-07-04,-0.05,-0.62,1.65,0.00,9.02,11.42,0.81,2.55,0.05,9.55,1.07,2.30,7.90,11.16,14.70,-1.81,5411.00,4567.00,566.80,1529.00,NaN,52.10,2000.00,34616.00,66857.00,-84.70,476793.00,592739.00,46108.00,143886.00,2714.00,442519.00,51188.00,106896.00
2020-07-05,-0.10,-0.68,2.49,0.00,9.46,13.89,0.97,2.40,0.09,4.41,0.90,2.58,8.40,11.65,14.60,-1.57,5674.00,5555.00,675.80,1440.00,NaN,53.09,2910.00,35793.00,115398.00,-75.30,517780.00,698471.00,60971.00,138503.00,4736.00,194940.00,42718.00,119879.00
2020-07-06,-0.21,-3.34,1.97,0.03,10.05,14.85,1.62,2.95,0.13,9.82,1.06,2.67,8.20,11.28,13.70,32.06,6029.00,5942.00,1133.00,1770.00,NaN,73.07,11058.00,185072.00,101167.00,1743.00,708714.00,931076.00,145554.00,197259.00,13826.00,527624.00,63043.00,154966.00
2020-07-07,-0.11,-3.78,0.69,0.00,11.65,14.83,1.69,2.64,0.11,12.83,1.03,1.82,8.30,10.56,12.40,2.39,6993.00,5930.00,1182.00,1584.00,NaN,89.25,5964.00,181279.00,64292.00,876.60,1006880.00,1177470.00,196144.00,247952.00,12538.00,718725.00,94818.00,166652.00
