SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
2020-12-27,NEM,450013.65056484,302408.41874784,0.672
2020-12-27,NSW1,135147.841414,97220.31399584,0.7194
2020-12-27,QLD1,145728.77461084,110076.25816354,0.7554
2020-12-27,SA1,34912.739275,3399.88883925,0.0974
2020-12-27,TAS1,17529.337193,1.63805742,0.0001
2020-12-27,VIC1,116694.958072,91710.31969179,0.7859
2020-12-28,NEM,437987.15275582,307011.2455187,0.701
2020-12-28,NSW1,140393.440153,98512.72643949,0.7017
2020-12-28,QLD1,148269.22424882,112839.81272199,0.761
2020-12-28,SA1,29798.198544,4095.83724488,0.1375
2020-12-28,TAS1,14985.581909,1.63950649,0.0001
2020-12-28,VIC1,104540.707901,91561.22960585,0.8758
2020-12-29,NEM,452478.31841107,334917.86080799,0.7402
2020-12-29,NSW1,150209.113503,110659.68350746,0.7367
2020-12-29,QLD1,155782.72982007,121961.23003558,0.7829
2020-12-29,SA1,23832.570896,4517.73995857,0.1896
2020-12-29,TAS1,16287.231408,1.63813176,0.0001
2020-12-29,VIC1,106366.672784,97777.56917462,0.9193
2020-12-30,NEM,456230.53842399,333588.31101308,0.7312
2020-12-30,NSW1,154150.238214,110970.7189815,0.7199
2020-12-30,QLD1,148969.89511299,117318.79810948,0.7875
2020-12-30,SA1,24846.268475,3630.12989274,0.1461
2020-12-30,TAS1,15400.58455,1.63813232,0.0001
2020-12-30,VIC1,112863.552072,101667.02589704,0.9008
2020-12-31,NEM,455375.800376,313571.17629947,0.6886
2020-12-31,NSW1,147823.30059901,104328.40467458,0.7058
2020-12-31,QLD1,147842.47495899,113364.23088636,0.7668
2020-12-31,SA1,30900.316826,3517.54762658,0.1138
2020-12-31,TAS1,15942.27968,0.0,0.0
2020-12-31,VIC1,112867.428312,92360.99311195,0.8183
2021-01-01,NEM,443150.14901948,307619.17242523,0.6942
2021-01-01,NSW1,134679.675738,95892.73099079,0.712
2021-01-01,QLD1,146520.92466348,108150.41714811,0.7381
2021-01-01,SA1,29056.914726,4200.45449929,0.1446
2021-01-01,TAS1,16450.042337,0.0,0.0
2021-01-01,VIC1,116442.591555,99375.56978704,0.8534
2021-01-02,NEM,445898.9448099,321416.72424119,0.7208
2021-01-02,NSW1,140232.591297,102320.10156669,0.7296
2021-01-02,QLD1,144439.71668591,107338.44270554,0.7431
