SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX,date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2020-12-27,SA1,34912.739275,3399.88883925,0.0974,2020-12-27,-0.44,-5.46,0.68,0.0,1.97,4.54,0.04,0.07,0.34,27.84,0.39,5.04,12.6,21.74,29.2,0.0,1181.0,1814.0,27.8,40.27,,-7.63,-6034.0,-50343.0,25549.0,-0.64,-6267.0,-1284.0,1671.0,2841.0,1792.0,-140439.0,-10611.0,-83885.0
2020-12-28,SA1,29798.198544,4095.83724488,0.1375,2020-12-28,-0.48,-5.69,0.09,0.0,2.45,5.43,0.0,0.0,0.45,20.4,1.3,8.61,9.2,15.08,20.2,-0.06,1469.0,2171.0,0.0,0.0,,-22.77,-15558.0,-120045.0,3949.0,0.08,-29476.0,-22038.0,0.0,0.0,-834.9,-107933.0,-60487.0,-388719.0
2020-12-29,SA1,23832.570896,4517.73995857,0.1896,2020-12-29,-0.48,-2.03,2.38,0.0,2.41,6.4,0.0,0.0,0.36,12.4,2.38,9.74,10.1,17.04,21.9,-0.17,1447.0,2559.0,0.0,0.0,,21.19,8063.0,-12264.0,97654.0,-5.0,56254.0,189807.0,0.0,0.0,10585.0,373706.0,9244.0,-21768.0
2020-12-30,SA1,24846.268475,3630.12989274,0.1461,2020-12-30,-0.48,-0.61,2.76,0.0,2.38,4.43,0.0,0.0,0.37,14.63,2.95,8.71,13.0,19.83,29.2,-0.12,1429.0,1772.0,0.0,0.0,,30.84,14034.0,11085.0,103613.0,-4.6,72125.0,137474.0,0.0,0.0,11432.0,505317.0,60761.0,168136.0
2020-12-31,SA1,30900.316826,3517.54762658,0.1138,2020-12-31,-0.47,-3.77,0.15,0.0,2.38,4.18,0.0,0.0,0.42,21.93,1.86,9.54,15.0,23.8,30.0,-0.14,1430.0,1673.0,0.0,0.0,,-14.46,-15819.0,-93285.0,5324.0,3.53,-12913.0,-21215.0,0.0,0.0,-586.3,94753.0,-63134.0,-416552.0
2021-01-01,SA1,29056.914726,4200.45449929,0.1446,2021-01-01,-0.47,-2.16,0.39,0.0,2.55,5.34,0.0,0.0,0.37,17.62,3.2,8.68,17.8,21.12,24.8,-0.03,1531.0,2136.0,0.0,0.0,,21.67,7085.0,32843.0,11267.0,-0.76,49103.0,114215.0,0.0,0.0,7622.0,384667.0,46181.0,116840.0
2021-01-02,SA1,26625.512434,4650.35656776,0.1747,2021-01-02,-0.45,-3.65,3.22,0.0,2.43,6.47,0.0,0.0,0.4,14.57,2.75,9.11,17.4,20.09,25.8,-0.03,1459.0,2588.0,0.0,0.0,,0.42,-8722.0,-87722.0,103463.0,-1.09,23603.0,107361.0,0.0,0.0,7177.0,58004.0,-11939.0,-176634.0
2021-01-03,SA1,23460.163451,4019.31476343,0.1713,2021-01-03,-0.43,-2.15,4.42,0.0,2.4,5.32,0.0,0.0,0.36,13.58,1.95,7.7,15.6,18.48,21.0,-0.03,1443.0,2126.0,0.0,0.0,,19.72,6160.0,-15726.0,155367.0,-1.26,52006.0,129171.0,0.0,0.0,8965.0,301217.0,10370.0,5820.0
2021-01-04,SA1,32328.830528,3443.77315836,0.1065,2021-01-04,-0.45,-3.73,1.05,0.0,2.4,4.15,0.0,0.0,0.38,23.16,2.5,6.57,14.1,17.22,21.6,-0.2,1437.0,1660.0,0.0,0.0,,-9.5,-3559.0,-58962.0,24231.0,1.07,-10554.0,-18410.0,0.0,0.0,-410.9,-49012.0,-60440.0,-165032.0
2021-01-05,SA1,30825.646163,3434.1938539,0.1114,2021-01-05,-0.54,-4.6,0.54,0.0,2.4,4.15,0.0,0.0,0.49,21.66,2.46,9.14,15.1,17.99,22.9,-0.18,1437.0,1660.0,0.0,0.0,,-19.19,-13761.0,-136656.0,18412.0,0.45,-20934.0,-36700.0,0.0,0.0,2198.0,-36357.0,-77300.0,-384131.0
